ID_PRODUCTO,ID,Nombre,Descripcion,Etiquetas,Precio,Cantidad,Cantidad,% Impuesto,Atributos,Sabor,URL FOTO,Foto 1,Foto 2,Foto 3
49,3,Yogurt Alpina,Vaso x 150 ml,Yogurt,1600,1,,,Sabor,Guanabana,https://i1.wp.com/mercaenlinea.nyc3.digitaloceanspaces.com/2019/05/alpina_yogurt_guanabana_200gr.jpg?fit=750%2C750&ssl=1,,,
50,4,Yogurt Alpina,Vaso x 150 ml,Yogurt,1600,1,,,Sabor,Mora ,https://larecetta.com/pub/media/catalog/product/cache/c687aa7517cf01e65c009f6943c2b1e9/h/t/httpsstorage.googleapis.comlarecetta-ibis-images2000557.jpg,,,
47,5,Yogurt Alpina Deslactosado,Vaso x 150 ml,Yogurt,1600,1,,,Sabor,Fresa,https://www.amercarya.com/wp-content/uploads/2020/08/Yogurt-ALPINA-deslactosado-fresa-150gr_9e3cde8e-60ed-4e9b-9159-6f095fd2ad22.jpg,,,
47,6,Yogurt Alpina Deslactosado,Vaso x 150 ml,Yogurt,1600,1,,,Sabor,Melocotón,https://www.amercarya.com/wp-content/uploads/2020/08/Yogurt-ALPINA-deslactosado-melocoton-150gr_b7f6114d-59c2-41a6-9afe-f4f3e796a8a6.jpg,,,
48,1,Yogurt Alpina,Vaso x 200 ml,Yogurt,2300,1,,,Sabor,Fresa,https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3496832-750-750/7702001044115.jpg?v=637230819842930000,,,
48,2,Yogurt Alpina,Vaso x 200 ml,Yogurt,2300,1,,,Sabor,Melocotón,https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3496833-1000-1000/7702001044122.jpg?v=637230819843570000,,,
48,3,Yogurt Alpina,Vaso x 200 ml,Yogurt,2300,1,,,Sabor,Guanabana,https://i1.wp.com/mercaenlinea.nyc3.digitaloceanspaces.com/2019/05/alpina_yogurt_guanabana_200gr.jpg?fit=750%2C750&ssl=1,,,
48,4,Yogurt Alpina,Vaso x 200 ml,Yogurt,2300,1,,,Sabor,Mora ,,Yogurt Alpina x 200,,
49,1,Yogo Yogo Litro,Bolsa x 1000 ml,Yogurt,4300,1,,,Sabor,Mora ,https://mercadoacasa.co/wp-content/uploads/2020/05/yogo-yogo-mora-1000.jpg,,,
49,2,Yogo Yogo Litro,Bolsa x 1000 ml,Yogurt,4300,1,,,Sabor,Melocotón,https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3496813-1000-1000/7702001046423.jpg?v=637230819766870000,,,
49,3,Yogo Yogo Litro,Bolsa x 1000 ml,Yogurt,4300,1,,,Sabor,Fresa,,Yogurt Alpina Yogo Yogo bolsa,,
50,1,Yogo Yogo ,Vaso x 150 ml,Yogurt,1000,1,,,Sabor,Mora ,https://www.dumbomania.com/wp-content/uploads/2019/04/yogo-yogo-alpina-mora-vaso-.jpg,,,
50,2,Yogo Yogo ,Vaso x 150 ml,Yogurt,1000,1,,,Sabor,Melocotón,,Yogurt Alpina Yogo Yogo ,,
50,3,Yogo Yogo ,Vaso x 150 ml,Yogurt,1000,1,,,Sabor,Fresa,https://larecetta.com/pub/media/catalog/product/cache/c687aa7517cf01e65c009f6943c2b1e9/h/t/httpsstorage.googleapis.comlarecetta-ibis-images2000602.jpg,,,
51,1,Yogurt Alpina,Botella x 1000 ml,Yogurt,9500,1,,,Sabor,Melocotón,,Yogurt Alpina x 1000,,
51,2,Yogurt Alpina,Botella x 1000 ml,Yogurt,9500,1,,,Sabor,Fresa,https://images.rappi.com/products/357793-1583765947543.jpg?d=500x500,,,
52,1,Yogurt Alpina,Botella x 1750 ml,Yogurt,14700,1,,,Sabor,Melocotón,https://merkandoya.com/imgproductos/41a931d0-8518-11ea-bbc2-e1ddb3edd09320200422230941.jpg,,,
52,2,Yogurt Alpina,Botella x 1750 ml,Yogurt,14700,1,,,Sabor,Fresa,https://www.eurosupermercados.com/eurosupermercado2020//contenidos/images/ecommerce_productos/7702001046508.jpg,,,
53,1,Yogurt Alpina,Bolsa x 900 ml,Yogurt,6100,1,,,Sabor,Melocotón,https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3496808-750-750/7702001047406.jpg?v=637230819753400000,,,
53,2,Yogurt Alpina,Bolsa x 900 ml,Yogurt,6100,1,,,Sabor,Fresa,,Yogurt Alpina Bolsa,,
54,1,Yogo Yogo Cereal ,Vaso x 130 gr,Yogurt,1500,1,,,Sabor ,Fresa,      https://larecetta.com/pub/media/catalog/product/cache/c687aa7517cf01e65c009f6943c2b1e9/h/t/httpsstorage.googleapis.comlarecetta-ibis-images2006084.jpg,Yogo Cereal,,
54,2,Yogo Yogo Cereal ,Vaso x 130 gr,Yogurt,1500,1,,,Sabor,Natural,https://larecetta.com/pub/media/catalog/product/cache/c687aa7517cf01e65c009f6943c2b1e9/h/t/httpsstorage.googleapis.comlarecetta-ibis-images2006084.jpg,,,
54,3,Yogo Yogo Cereal ,Vaso x 130 gr,Yogurt,1500,1,,,Sabor,Chocolate,https://triunfoq.com/wp-content/uploads/2019/05/7702001106714-600x600.jpg,,,
55,1,Yogo Yogo ,x 8 und,Yogurt,6800,1,,,Sabor,,,Yogurt Alpina Yogo Yogo X 8,,
56,1,Yogurt Alpina Yox,Botella x 100 gr ,Yogurt,1800,1,,,Sabor,Vainilla,https://mercaldas.vteximg.com.br/arquivos/ids/183201-1300-1300/YOGURT-ALPINA-YOX-100-VAINILLA-FR.jpg?v=636996792879230000,,,
56,2,Yogurt Alpina Yox,Botella x 100 gr ,Yogurt,1800,1,,,Sabor,Melocoton ,,Yogurt Alpina Yox,,
56,3,Yogurt Alpina Yox,Botella x 100 gr ,Yogurt,1800,1,,,Sabor,Mora,https://mercalo.co/wp-content/uploads/2017/06/Yox-Alpina-Multifrutas-100-grs.jpg,,,
56,4,Yogurt Alpina Yox,Botella x 100 gr ,Yogurt,1800,1,,,Sabor,Fresa,https://mercaldas.vteximg.com.br/arquivos/ids/183199-1300-1300/YOGURT-ALPINA-YOX-100-FRESA-FR.jpg?v=636996792873770000,,,
57,1,Yogurt Alpina Griego 0%,Vaso 150 gr,Yogurt,3200,1,,,Sabor,Fresa,,Yogurt Alpina Griego,,
57,2,Yogurt Alpina Griego 0%,Vaso 150 gr,Yogurt,3200,1,,,Sabor,Mandarina,https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3496965-750-750/7702001148912.jpg?v=637230833618600000,,,
57,3,Yogurt Alpina Griego 0%,Vaso 150 gr,Yogurt,3200,1,,,Sabor,Coco,https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3496963-750-750/7702001148936.jpg?v=637230833614700000,,,
57,4,Yogurt Alpina Griego 0%,Vaso 150 gr,Yogurt,3200,1,,,Sabor,Limón,https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3496964-1000-1000/7702001148929.jpg?v=637230833617030000,,,
57,5,Yogurt Alpina Griego 0%,Vaso 150 gr,Yogurt,3200,1,,,Sabor,Mora / Arandanos,https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3496778-750-750/7702001055067.jpg?v=637230819637330000,,,
58,1,Yogurt Alpina Finesse ,Botella x 1000 ml,Yogurt,10700,1,,,Sabor,mora,,Yogurt Alpina Finesse x 1000 ml,,
58,2,Yogurt Alpina Finesse ,Botella x 1000 ml,Yogurt,10700,1,,,Sabor,Melocoton ,https://colsubsidiogrocery.vtexassets.com/arquivos/ids/158597-800-450?width=800&height=450&aspect=true,,,
59,1,Yogurt Alpina Finesse ,Vaso x 180 ml,Yogurt,2500,1,,,Sabor,mora,https://mercalo.co/wp-content/uploads/2017/06/Yogurt-Finesse-Mora-180-grs.jpg,,,
59,2,Yogurt Alpina Finesse ,Vaso x 180 ml,Yogurt,2500,1,,,Sabor,fresa,https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3496858-1000-1000/7702001041749.jpg?v=637230819950570000,Yogurt Alpina Finesse Vaso,,
59,3,Yogurt Alpina Finess ,Vaso x 180 ml ,Yogurt,2500,1,,,Sabor,Melocoton ,https://metrocolombiafood.vteximg.com.br/arquivos/ids/266039-1000-1000/7702001041756.jpg?v=637230837814530000,,,
60,1,Yogurt Alpina Finesse Musli,Vaso x 170 ml,Yogurt,2900,1,,,,,,Yogurt Alpina Finesse Musli,,
61,1,Yogurt Alpina Baby ,Vaso x 113,Yogurt,2300,1,,,,,,Yogurt Alpina Baby Natural,,
62,1,Yogurt Alpina Baby Cereal,Vaso x 105,Yogurt,2500,1,,,Sabor,piazza,https://metrocolombiafood.vteximg.com.br/arquivos/ids/265861-1000-1000/7702001124763.jpg?v=637230837047170000,,,
63,1,BonYour Alpina ,Vaso x 169 gr,Yogurt,2700,1,,,Sabor,black,https://metrocolombiafood.vteximg.com.br/arquivos/ids/265941-400-400/7702001086498.jpg?v=637230837344070000,,,
63,2,BonYour Alpina ,Vaso x 169 gr,Yogurt,2700,1,,,Sabor,zucaritas,https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3496760-750-750/7702001086023.jpg?v=637230819561930000,,,
63,3,BonYour Alpina ,Vaso x 169 gr,Yogurt,2700,1,,,Sabor,ChocoKrtispis,https://i1.wp.com/mercaenlinea.nyc3.digitaloceanspaces.com/2019/03/bonyur_chocokrispis_169gr.jpg?fit=1000%2C1000&ssl=1,,,
63,4,BonYour Alpina ,Vaso x 169 gr,Yogurt,2700,1,,,Sabor,Chocozo,https://cdn.derematazo.com/wp-content/uploads/2019/08/Bonyurt-Alpina-Cereal-RecubChocolate-x-172g-22508.jpg,,,
64,1,Mini BonYour Alpina ,Vaso x 100 gr ,Yogurt,2200,1,,,Sabor,Candy,https://i1.wp.com/mercaenlinea.nyc3.digitaloceanspaces.com/2019/02/alpina_mini_bon_yourt_chococandy_100gr.jpg?fit=800%2C800&ssl=1,,,
65,1,Papas Super Ricas Todo Rico,Bolsa x 250 gr,Snacks,5900,1,,,Sabor,BBQ,https://www.larebajavirtual.com/images/productos/sii/F/300x300/todo_rico_bbq_familiar_super_ricas-99391-1594703696.png,,,
65,2,Papas Super Ricas Todo Rico,Bolsa x 250 gr ,Snacks,5900,1,,,Sabor,Natural,https://metrocolombiafood.vteximg.com.br/arquivos/ids/165942-1000-1000/7702152009193-1.jpg?v=636670854237570000,,,
66,1,Papas Super Ricas Todo Rico,Bolsa x 180 gr,Snacks,4800,1,,,Sabor,Criollo,https://jumbocolombiafood.vteximg.com.br/arquivos/ids/158088-1000-1000/7702152003504.jpg?v=636081687985800000,,,
67,2,Papas Super Ricas Todo Rico,Bolsa x 180 gr,Snacks,4800,1,,,Sabor,Criollo Aji ,https://jumbocolombiafood.vteximg.com.br/arquivos/ids/158088-750-750/7702152003504.jpg?v=636081687985800000,,,
68,1,Papas Super Ricas Todo Rico,Bolsa x  150 gr,Snacks,4100,1,,,Sabor,BBQ,https://www.google.com/search?q=super+ricas+todo+rico&tbm=isch&ved=2ahUKEwj3pYLDmt3rAhWQ11kKHVsbCoAQ2-cCegQIABAA&oq=super+ricas+todo+rico&gs_lcp=CgNpbWcQA1CnM1jkPmCrQGgAcAB4AIABkAGIAbMJkgEDMC45mAEAoAEBqgELZ3dzLXdpei1pbWfAAQE&sclient=img&ei=k2JZX7eQBJCv5wLbtqiACA&bih=657&biw=1366&rlz=1C1AVNA_enCO565CO565#imgrc=j-TRGwMb3VqBvM&imgdii=SNs5ljMjr-DsjM,,,
68,2,Papas Super Ricas Todo Rico,Bolsa x 150 gr,Snacks,4100,1,,,Sabor,Original,https://d50xhnwqnrbqk.cloudfront.net/images/products/large/superr.jpg,,,
69,1,Papas Super Ricas Fritas,Bolsa x 320 gr,Snacks,6700,1,,,Sabor,Pollo,https://exitocol.vtexassets.com/arquivos/ids/1765513-800-auto?width=800&height=auto&aspect=true,,,
70,1,Papas Super Ricas Fritas,Bolsa x 215 gr,Snacks,4800,1,,,Sabor,Natural,https://metrocolombiafood.vteximg.com.br/arquivos/ids/267938-1000-1000/7702152002255.jpg?v=637242039369600000,,,
70,2,Papas Super Ricas Fritas,Bolsa x 205 gr ,Snacks,4800,1,,,Sabor,Pollo,https://images.rappi.com/products/620765-1559235068.png,,,
71,1,Papas Super Ricas Fritas,Bolsa x 105 gr,Snacks,3200,1,,,Sabor,Pollo,https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3539109-1000-1000/7702152109831.jpg?v=637352028532230000,,,
71,3,Papas Super Ricas Fritas,Bolsa x 115 gr,Snacks,3200,1,,,Sabor,Picante ,https://images.rappi.com/products/494072-1559235067.png,,,
71,4,Papas Super Ricas Fritas,Bolsa x 105 gr,Snacks,3200,1,,,Sabor,Natural,https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3539108-1000-1000/7702152109824.jpg?v=637352028529600000,,,
72,1,Papas Super Ricas Fritas Crocantes ,Bolsa x 115 gr,Snacks,3500,1,,,Sabor,Costillas Ahumadas,https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3458994-750-750/7702152101231---PAPA-CROKANTE-COSTILLA-DE-CERDO-X-115GR.jpg?v=637039162324770000,,,
72,2,Papas Super Ricas Fritas Crocantes ,Bolsa x 115 gr,Snacks,3500,1,,,,,,
73,1,Papas Super Ricas Fritas Fosforitos ,Bolsa x 200 gr,Snacks,3600,1,,,Sabor,Natural,,,,
74,1,Tajamiel Super Ricas,Bolsa x 135 gr,Snacks,3600,1,,,Sabor,Platano Maduro,https://exitocol.vtexassets.com/arquivos/ids/2081675-800-auto?width=800&height=auto&aspect=true,,,
74,2,Tajaditas Super Ricas,Bolsa x 135 gr,Snacks,3600,1,,,Sabor,Platano verde,https://metrocolombiafood.vteximg.com.br/arquivos/ids/267944-1000-1000/7702152107967.jpg?v=637242039399900000,,,
75,1,Papas Margarita De Todito ,Bolsa x 400 gr,Snacks,7700,1,,,Sabor,Natural,https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3484364-1000-1000/7702189030443.jpg?v=637175561746170000,,,
76,1,Papas Margarita De Todito ,Bolsa x 150 gr,Snacks,4200,1,,,Sabor,Natural,https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3484423-1000-1000/7702189054036.jpg?v=637175561956630000,,,
76,2,Papas Margarita De Todito ,Bolsa x 150 gr,Snacks,4200,1,,,Sabor,Mix,https://metrocolombiafood.vteximg.com.br/arquivos/ids/259441-1000-1000/7702189054050.jpg?v=637175640813230000,,,
76,3,Papas Margarita De Todito ,Bolsa x 150 gr,Snacks,4200,1,,,Sabor,BBQ,https://exitocol.vtexassets.com/arquivos/ids/1978516-800-auto?width=800&height=auto&aspect=true,,,
77,1,Papas Margarita  Fritas,Bolsa x 105 gr,Snacks,3400,1,,,Sabor,Natural,https://metrocolombiafood.vteximg.com.br/arquivos/ids/259434-750-750/7702189053787.jpg?v=637175640789670000,,,
77,2,Papas Margarita  Fritas,Bolsa x 105 gr,Snacks,3400,1,,,Sabor,Pollo,https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3484417-1000-1000/7702189053770.jpg?v=637175561929570000,,,
78,1,Papas Margarita Onduladas  ,Bolsa x 105 gr,Snacks,3400,1,,,Sabor,Tomate,https://metrocolombiafood.vteximg.com.br/arquivos/ids/259437-1000-1000/7702189053848.jpg?v=637175640797800000,,,
