,% Impuesto,Atributos,Cantidad,Cantidad.1,Descripcion,Etiquetas,Foto 1,Foto 2,ID,ID_PRODUCTO,Nombre,Precio,Sabor,URL FOTO,Unnamed: 14
0,0.0,,1.0,,Bolsa x 1.100 ml,Leches ,No image,,1.0,1.0,Leche Entera Alpina,3100.0,,https://www.eurosupermercados.com/eurosupermercado2020//contenidos/images/ecommerce_productos/7702001041404.jpg,
1,0.0,,1.0,,Bolsa x 1.100 ml,Leches ,No image,,1.0,2.0,Leche Alpina Deslactosada ,3400.0,,https://cdn.derematazo.com/wp-content/uploads/2019/08/Leche-Alpina-Deslactosada-Bolsa-x-1100ml-23445.jpg,
2,0.0,,1.0,,Bolsa x 1.100 ml,Leches ,No image,,1.0,3.0,Leche Alpina Semi-Descremada  ,3500.0,,https://www.eurosupermercados.com/eurosupermercado2020//contenidos/images/ecommerce_productos/7702001050130.jpg,
3,0.0,,1.0,,Bolsa x 1.100 ml,Leches ,No image,,1.0,4.0,Leche Alpina Deslactosada-Descremada ,3500.0,,https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3496784-1000-1000/7702001053841.jpg?v=637230819660630000,
4,0.0,,1.0,,Bolsa x 1.100 ml,Leches ,No image,,1.0,5.0,Leche Alpina Descremada  ,3500.0,,https://supertiendascomunal.com/5457-large_default/leche-descremada-alpina-11-lt.jpg,
5,0.0,,1.0,,Paca x 6 und,Leches ,No image,,1.0,6.0,Leche Alpina Entera  ,16200.0,,https://metrocolombiafood.vteximg.com.br/arquivos/ids/266047-750-750/7702001041411.jpg?v=637230837843670000,
6,0.0,,1.0,,Paca x 6 und,Leches ,No image,,1.0,7.0,Leche Alpina Deslactosada  ,17700.0,,https://exitocol.vtexassets.com/arquivos/ids/1782790/Leche-Deslactosada-Sixpack-En-Bolsa-X-11-Litros-Cu-576258_a.png?v=637236951475730000,
7,0.0,,1.0,,Paca x 6 und,Leches ,No image,,1.0,8.0,Leche Alpina Semi-Descremada ,21000.0,,https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3496788-750-750/7702001050208.jpg?v=637230819678000000,
8,0.0,,1.0,,Paca x 6 und,Leches ,No image,,1.0,9.0,Leche Alpina Deslactosada-Descremada ,21000.0,,https://mercaldas.vteximg.com.br/arquivos/ids/183332-1300-1300/LECHE-ALPINA-6UN-1100-DESLACDESCREM-BS.jpg?v=636996793400800000,
9,0.0,,1.0,,Paca x 6 und,Leches ,No image,,1.0,10.0,Leche Alpina Descremada ,21000.0,,https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3496787-750-750/7702001050352.jpg?v=637230819672530000,
10,0.0,,1.0,,Bolsa x 1.100 ml,Leches ,No image,,1.0,11.0,Leche Colanta Entera,3000.0,,,
