ID_PRODUCTO;ID;Nombre;Descripcion;Categoria;Etiquetas;Precio;Cantidad;% Impuesto;Atributos;Sabor;URL FOTO;Foto 1;Foto 2;Foto 3
1;1;Leche Entera Alpina;Bolsa x 1.100 ml;Lacteo, Huevos y refrigerados;Leches ;3100;1;0;;;https://www.eurosupermercados.com/eurosupermercado2020//contenidos/images/ecommerce_productos/7702001041404.jpg;;;
2;1;Leche Alpina Deslactosada ;Bolsa x 1.100 ml;Lacteo, Huevos y refrigerados;Leches ;3400;1;0;;;https://cdn.derematazo.com/wp-content/uploads/2019/08/Leche-Alpina-Deslactosada-Bolsa-x-1100ml-23445.jpg;;;
3;1;Leche Alpina Semi-Descremada  ;Bolsa x 1.100 ml;Lacteo, Huevos y refrigerados;Leches ;3500;1;0;;;https://www.eurosupermercados.com/eurosupermercado2020//contenidos/images/ecommerce_productos/7702001050130.jpg;;;
4;1;Leche Alpina Deslactosada-Descremada ;Bolsa x 1.100 ml;Lacteo, Huevos y refrigerados;Leches ;3500;1;0;;;https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3496784-1000-1000/7702001053841.jpg?v=637230819660630000;;;
